samples,od1,od2,odavg,conc
BLANK,0.109800003,0.134800002,0.122300003,0
STD1,0.319099993,0.315200001,0.317149997,2.057613169
STD2,0.617699981,0.462700009,0.540199995,6.172839506
STD3,0.675400019,0.690100014,0.682750016,18.51851852
STD4,0.846800029,0.850799978,0.848800004,55.55555556
STD5,1.024999976,1.0079,1.016449988,166.6666667
STD6,0.970200002,0.974900007,0.972550005,500
TA,2.640300035,2.04399991,2.342149973,
NSB,0.117899999,0.174700007,0.146300003,
B0,1.029800057,1.021100044,1.025450051,
RFAZT2,1.160899997,1.078400016,1.119650006,
RFAZT6,0.381799996,0.360599995,0.371199995,
RFAZT10,0.418000013,0.346700013,0.382350013,
RFAZT14,0.500100017,0.482499987,0.491300002,
RFAZT18,0.328399986,0.358700007,0.343549997,
RFAZT22,0.324200004,0.335799992,0.329999998,
RFBZT2,0.416399986,0.402399987,0.409399986,
RFBZT6,0.443199992,0.488099992,0.465649992,
RFBZT10,0.432599992,0.429500014,0.431050003,
RFBZT14,0.342599988,0.351099998,0.346849993,
RFBZT18,0.389600009,0.354299992,0.371950001,
RFBZT22,0.450599998,0.434899986,0.442749992,
RFCZT2,0.407999992,0.370900005,0.389449999,
RFCZT6,0.372399986,0.359800011,0.366099998,
RFCZT10,0.326299995,0.333499998,0.329899997,
RFCZT14,0.453299999,0.422600001,0.43795,
RFCZT18,0.351999998,0.378600001,0.3653,
RFCZT22,0.388799995,0.4375,0.413149998,
ALAZT2,0.460799992,0.46419999,0.462499991,
ALAZT6,0.460599989,0.493600011,0.4771,
ALAZT10,0.4454,0.32069999,0.383049995,
ALAZT14,0.492500007,0.390500009,0.441500008,
ALAZT18,0.329600006,0.345400006,0.337500006,
ALAZT22,0.337199986,0.386999995,0.36209999,
ALBZT2,0.372399986,0.366400003,0.369399995,
ALBZT6,0.207900003,0.393599987,0.300749995,
ALBZT10,0.395599991,0.372099996,0.383849993,
ALBZT14,0.377999991,0.358900011,0.368450001,
ALBZT18,0.316500008,0.356400013,0.336450011,
ALBZT22,0.456200004,0.501999974,0.479099989,
ALCZT2,0.50910002,0.386599988,0.447850004,
ALCZT6,0.470999986,0.432099998,0.451549992,
ALCZT10,0.305400014,0.323900014,0.314650014,
ALCZT14,0.334899992,0.363299996,0.349099994,
ALCZT18,0.334100008,0.291700006,0.312900007,
ALCZT22,0.523599982,0.346700013,0.435149997,
